,overall,reviewTime,reviewerID,asin,reviewText,title,brand
26,5.0,"02 27, 2012",AC3R6XWQYOYFM,B00001W0H1,"Good product.  The floppy disks worked fine as advertised.
FYI, I bought an External USB floppy drive to write these disks in the modern PCs
(mostly for reprogramming BIOS on old motherboards).",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
27,5.0,"03 28, 2018",A33UP344GCPCI9,B00001W0H1,It is getting hard to find the floppy diskettes. We had a different brand and was having trouble with it. These seem to be working fine.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
28,5.0,"02 16, 2018",A1U3OXMV2XN3F,B00001W0H1,good,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
29,5.0,"01 23, 2018",A2OGINA63P3CXG,B00001W0H1,works,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
30,5.0,"11 29, 2017",A2D5MDGBIIHDBS,B00001W0H1,Works great in old Sony Mavica FD71 camera as well as in a floppy converter.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
31,5.0,"02 15, 2017",A27KRDZBELFVW4,B00001W0H1,This is a great product.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
32,5.0,"02 7, 2017",A2CRIC1BKMLACP,B00001W0H1,"Bought these for some nostalgic posterity as I remember taking projects and presentations to elementary school on a few of these bad boys. Still looking for a SATA floppy drive, though.

Came in the blue box shrink wrapped as pictured by other customers. Box has a copyright date of 1995. Also in the box was 10 little sticker labels for them in different colors.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
33,5.0,"10 5, 2016",A326TNIVNWX4BE,B00001W0H1,Hard to find and just what i needed. Thank you!,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
34,4.0,"02 18, 2015",A20L6Z7QIGTAAH,B00004Z5A4,7/10 is working,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
35,5.0,"09 17, 2014",A2PILD890CD063,B00004Z5A4,Good,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
36,3.0,"06 13, 2009",A1027EV8A9PV1O,B00004Z5A4,I bought this thinking I was getting a plastic cover instead it was metal cover.  Just beware the slide cover is metal not plastic.,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
37,5.0,"06 1, 2017",AVGZX8U350SUV,B00004Z5A4,Thanks,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
38,5.0,"03 1, 2017",A2SKIYL6PT0VF8,B00004Z5A4,These are wonderful coasters. I have never gotten so many comments and compliments.,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
39,5.0,"10 20, 2016",A2J0RPI6ROTQOG,B00004Z5A4,Awesome Product Thanks!,"memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
40,5.0,"10 11, 2016",A3OOL08151FEFD,B00004Z5A4,"I ordered this for my Packard Bell Legend 822CDT with Windows 95, I used a green transparent disk to create a Windows 95 Startup Disk, and I even used my Dymo LetraTag to make a label for my custom Windows 95 Startup Disk with the transparent label, I even used the write protection switch so I don't have to worry about this Disk getting messed up.","memorex mf2hd 3.5&quot; pc-formatted high-density floppy disks with file box (colors, 10-pack) (discontinued by manufacturer)",Memorex
41,5.0,"05 28, 2004",AC5TPKVID01OJ,B00006B938,"I didn't even have to install drivers (Windows), it just comes right up and works perfectly. Be aware that it's a ""high power"" USB device so a bus-powered USB port may not have enough power to support it.",lacie 706018 usb ext floppy disk drive,LaCie
42,5.0,"03 7, 2004",A37JNUJSVAJKYN,B00006B938,"If your one of those people who need a floppy drive but got a new computer that no longer comes with a floppy drive this drive should be it.  Just plug it in to your Mac and your ready to use it.  The price cannot be matched either, I looked around my local electronics, office, discount stores and they could not match Amazons price theres were at least $10 - $15 more.",lacie 706018 usb ext floppy disk drive,LaCie
43,4.0,"04 16, 2014",ACVDEMD7W5PVH,B00006B938,"Item was shipped in good condition and on the promised day.  The disk drive is still working perfectly.  It is thought that this product had been used before, but so far I have had no problems with it.",lacie 706018 usb ext floppy disk drive,LaCie
44,5.0,"04 14, 2014",A3UG72I11Z1HGC,B00006B938,"I love it.  I have other external floppy disk drives (yeah, I'm still using floppy disks) and this one is the quietest and fastest one I have.",lacie 706018 usb ext floppy disk drive,LaCie
45,5.0,"07 6, 2010",A28ZDVY6NV75P,B00006B938,After my PC went south I needed a floppy reader for all the floppy discs on which I had stored tons of pictures.  This worked with my MacBook right out of the box.  It was worth the money to be able to access my saved pictures to a separate hard drive.,lacie 706018 usb ext floppy disk drive,LaCie
46,5.0,"05 3, 2010",A3FN1OZ2TJ5HS2,B00006B938,"I bought this to finally go through the ton of old floppy disks I had so I could check them for any information and then finally throw them away.  Since the iMac has no floppy disk drive this has stepped in to help out.  So far it has worked quite well, although you do need to read the directions first as if you fail to properly eject the disk it will hang up your system for awhile.  Otherwise, it has worked quite well and I'm slowly getting through the pile of disks I have.  With no drivers to install it has literally been a plug and use capability.  So far on my iMac it has worked well and has saved me the aggravation of having to go find a Windows machine and check each one.  This has been my first experience with LaCie and so far it has been a good one.

Update:  This continues to work flawlessly on my iMac running Lion.  I periodically still find some floppies around that I need to check and this has continued to work very well.  I am still quite happy I bought this as it has saved me untold aggravation.",lacie 706018 usb ext floppy disk drive,LaCie
47,4.0,"02 8, 2010",A1FXX5WQS5IWXM,B00006B938,"I have a new iMac and my wife has a MacBook Pro.  I used to use a PC running Windows.  I no longer needed the PC for anything except we still had my wife's old Mac Powerbook 1400.  The only access to occasionally obtaining information remaining on the Powerbook (no USB etc.) was by using its floppy drive. The PC had a floppy drive but the new Macs did not,  and I want to get rid of the PC.  The LaCie USB Floppy Disk drive now allow us to retrieve Powerbook data directly to our newer Macs.  Bye bye PC.",lacie 706018 usb ext floppy disk drive,LaCie
48,5.0,"04 3, 2009",A3V21843GVIC2R,B00006B938,"Excellent product for those who still have data on floppy discs.
USB makes it sweet.
Nu'ff Said.",lacie 706018 usb ext floppy disk drive,LaCie
49,5.0,"02 7, 2009",A1STXUS7VN9MVC,B00006B938,"I still have a Sony Mavica digital camera that uses floppies but my new macbook didn't have a floppy slot so I found this and so far so good.  No big deal, just hook it up and go.  Perfect!",lacie 706018 usb ext floppy disk drive,LaCie
50,5.0,"11 9, 2008",AAI8A912XBX63,B00006B938,"I bought this LaCie to replace a broken drive at work. We have an older industrial control device at work that records data to floppy disks. None of the XP workstations have floppy disk drives since floppies are almost extinct. The LaCie is thin, externally powered through the USB port, well built and an aesthetically pleasing design. There are cheaper, no-name brand drives out there, but time is money and few extra bucks spent on the LaCie is money well spent.",lacie 706018 usb ext floppy disk drive,LaCie
51,2.0,"04 3, 2008",A25NDP5C2LQCC5,B00006B938,"Works with my Dell Latitude XP Laptop and I can read/write onto floppy disk but does not work with my Dell dockingstation nor can I boot properly with the floppy drive attached to my Laptop USB port.

There's no reason why attaching the floppy drive to my dockingstation or laptop prior to boot-up should fail to work.  LaCie needs to fix this.",lacie 706018 usb ext floppy disk drive,LaCie
52,5.0,"01 18, 2008",AQJDE7ZMD1VWZ,B00006B938,"At my parents house, there was an overabundance of 1.4MB floppy disks, with stuff from who knows how long ago sitting on those disks collecting dust. Of the seven computers within our family bought fairly recently, none of which came with floppy drives. As part of my ""cleaning out"" the house, I bought this and then was able to copy the files from the disks onto the computer. It was really just plug and use on the computer, no separate software was needed.",lacie 706018 usb ext floppy disk drive,LaCie
53,1.0,"12 13, 2007",A1CR7GTCIF28OZ,B00006B938,"Bought this item for use at the office. We rarely used it.  After a few months, it just stopped working.  It now makes a grinding noise when it tries to access any floppy disk.  Next time, I'll try to buy something a little more reliable.  Glad it worked for so many reviewers.  Unfortunately, it didn't work very long for me, so I can't recommend it.",lacie 706018 usb ext floppy disk drive,LaCie
54,5.0,"03 13, 2007",A2II4B6CJ4O47Q,B00006B938,It does what it is supposed to do...worked immediately out of the box...performs well and the price was right....buy again? Yes.....,lacie 706018 usb ext floppy disk drive,LaCie
55,5.0,"06 5, 2006",A3EQ61ES6HQ090,B00006B938,"My purpose for finding an external drive was probably different from most people's - I needed a drive that would work on Linux (SuSE, specifically), and I needed to copy files between a Linux machine and an old 8-bit MSX computer, which only accepts double-density diskettes. I'm happy to say that not only does the drive work flawlessly with Linux, I had no problem writing/reading double-density diskettes between the two machines. If you're looking for a drive that reads/writes double-density diskettes, and/or one that works with Linux, look no further",lacie 706018 usb ext floppy disk drive,LaCie
56,5.0,"01 24, 2006",A2WEPL6I2L1TTL,B00006B938,"It is a reliable product which works just fine with my Toshiba laptop running Windows XP Home edition.

I simply plugged it into my laptop's USB port and Windows XP automatically recognized it like it was always there.
So no drivers are needed for Windows XP.

Product is supplied with drivers on CD for Windows 98.
Although floppies are not much in use anymore, it is still nice to have this external USB floppy drive to lookup for some older archives kept on floppies or to read floppies brought by friends or relatives to print things out.

It is a bit expensive but considering overall quality it worth the money you pay for it. If I had to choose again I would go with the same product again.",lacie 706018 usb ext floppy disk drive,LaCie
57,5.0,"07 20, 2005",A1A535TCGNMVPI,B00006B938,"Super easy to set up!  I have a laptop with Windows XP.  All I did was unpack the box, plug it into my laptop and away I go!  Trust me if I can do this, anyone can!  Works great!  I'm glad I don't have to go to the library and spend hours transfering all my pics and files to discs now!",lacie 706018 usb ext floppy disk drive,LaCie
58,5.0,"10 25, 2004",A3UA0PM9VPD85A,B00006B938,"I got it, plugged it in and it works!  And no power cord is great since I need to take it to school and that's just one less thing I need to carry around.  Can't express how pleased I am (especially when you look at the price)!",lacie 706018 usb ext floppy disk drive,LaCie
59,5.0,"05 31, 2015",A4GIODWBTDYOZ,B00006B938,Really fast reading.  I had a whole stack of old floppys copied in very little time.,lacie 706018 usb ext floppy disk drive,LaCie
60,5.0,"04 20, 2015",A2Z6HR57P5R5NT,B00006B938,"Great compact FD player...good quality, recommended!",lacie 706018 usb ext floppy disk drive,LaCie
61,5.0,"04 22, 2005",A1SG73MN69ASC0,B000096B01,"This drive works great with my laptop (PC). Cable is about 18"" which is fine for my needs. Very slim and the eject button pops the disk out quite far, no digging to get to it.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
62,5.0,"05 8, 2015",A3VGDTFVF8J07Y,B000096B01,"Since there are few floppies in current computers, this allows one to continue to use them on any computer as needed.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
63,5.0,"05 18, 2014",A68JK1W1E0XD3,B000096B01,I hooked this up to my Mac and was able to recover thousands of files I thought I'd never see again.  It's not a daily user but it's a great drive and I'm glad to have purchased it.,smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
64,5.0,"03 17, 2014",AI1KMIBOGKD1Z,B000096B01,"So far it is doing everything it is supposed to do, but like any IT item, wait three minutes and the new and improved model is out and less expensive. I feel it was fair value for the price.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
65,5.0,"09 26, 2012",A3HJOVHNXF6GYF,B000096B01,"I enjoy using it. Since computers today no longer have floppy disc readers this is the answer. I have so many floppy disc's and not knowing what was on them due to my neglect I was able to view the files I had stored from the 90's. Some of the ""lost"" files were fun to review. Good product and I felt it was a good purchase for me.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
66,4.0,"09 30, 2011",A14RFF9JUIM34U,B000096B01,"Works great.  Easy plug-and-play operation.  My XP laptop recognized it immediately.  The drive was able to read my old old old 3.5"" disks that have been sitting around for about twenty years.  Now I can archive all those files and THROW AWAY those old obsolete 3.5"" disks!",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
67,1.0,"04 15, 2011",A2Q8IG6B08IFYS,B000096B01,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Verbatim-SmartDisk-Titanium-2x-USB-2-0-External-Floppy-Disk-Drive-FDUSB-TM2/dp/B000096B01/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Verbatim SmartDisk Titanium 2x USB 2.0 External Floppy Disk Drive FDUSB-TM2</a>
EXPENSIVE in relationship to other comparable products.  It seems CHEAP, plus it didn'twork on my PC/Dell Inspiron, or my new MacBook Pro.
I called VERBATIM headquarters (mfg) to get troubleshooting help.  They stated they are no longer associated with SmartDisk, they no longer mfg. the product and it's obsolete. The labeling on the back of this product says ""SMARTDISK"" and nothing about Verbatim.
This product was misrepresented as a VERBATIM product.
In other reviews, some said it worked great and others had same issues I had.
In essence, it if works, it should NOT be anywhere the $49 pricing.  Buyer BEWARE!",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
68,5.0,"02 16, 2009",A1VUN4JU731CBH,B000096B01,"I was looking for a floppy drive to use with my brand-new Win Vista 64-bit system and finally found a review here that stated this one would work with my operating system - and it does. After plugging it in, the hardware was instantly recognized and drivers were installed. I was ready to go in under a minute.

I read somewhere here that the USB cable was extremely short but I don't think so. I just measured it and - excluding plugs - it is 24 inches. Of course if you are looking to plug this into the back of your computer and have it reside on your desk, it might be too short if the CPU is sitting under your desk. I am using it with a desktop USB hub and have plenty of cable to spare.

Another plus: It actually works without having to be plugged into the CPU directly, i.e. it operates fine via the hub.

The only thing I don't like all that much: the USB cable is non-removable and permanently connected to the drive, making it take up more room when taking it on the road than it would need if I could store the cable separately from the drive itself.

Other than that: Great little ""retro""-device :-) !",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
69,4.0,"02 16, 2009",AEZ67ST005BAU,B000096B01,Since I still use floppy disks it is handy to move from computer to computer. It is plug and play which saves time. The only gripe I have is the short cord makes an extension cord necessary on most computers. I have used this model for a few years and I purchased this one as a back up as the floppy disk is going the way of the dinosaur.,smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
70,5.0,"01 30, 2009",A7M1LH3IAGO3Y,B000096B01,I have a lot of pictures on floppy disk and was thrilled that I can still get them on my computer with this USB External Floppy Drive,smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
71,5.0,"01 21, 2009",A3QDY9I0CNMD2W,B000096B01,"This installed on a new computer running Vista Home Premium 64-Bit in about 10 seconds after plugging in the USB connector. Windows immediately recognized it. I inserted a disk and the contents were readily available in Windows Explorer.

It's exactly want I needed, it works exactly as advertised, and the price was reasonable.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
72,5.0,"10 28, 2008",A3V1PR8PPINRZP,B000096B01,"This USB External Floppy Drive works great right out of the box. Both of my newer PCS came without a Floppy Drive and I needed to be able to read floppies that were created from way back in the days of Windows For Workgroups, V3.1, to Windows ME. With two PCs, one running XP/2 and the newest running Vista/64bit, I would have needed to buy two internal Floppy Drives. This USB Drive moves easily between both PCs. I'm very pleased with its fast, faultless performance too.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
73,5.0,"08 31, 2008",A18IN94JI8D7OS,B000096B01,This product arrived in 3 days.  I've used it to move files from one computer to a new one and to load old programs onto new computer.  Works just fine.  Quick and no problems with it showing up as a drive on either computer.,smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
74,4.0,"04 7, 2008",A1D73RJXMNVB48,B000096B01,"This floppy drive is very good. But could not understand why it would not work until PC was up and running.
 It is because it is not a boot floppy so the ""tech"" said. So it will not run when starting PC, only attach the floppy to pc after booting up pc. Tech says. Hmmmmmm",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
75,5.0,"04 1, 2008",A3QQGPI3CTV9SX,B000096B01,This thing was great it helped me recover so much that I had stored on floppys but had no drive in which to get to the tens of thousands of items stored.  It worked quick and I have all the stuff now onto an external hard drive and on HD data discs for safe keeping and back up.,smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
76,5.0,"07 3, 2007",AGM6QMDPFI0OK,B000096B01,"as advertised. no software needed, plug and play on xp on two different machines that don't have floppies. as a aside, if you've been thinking about moving data off floppies, do it now. later may be too late!",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
77,5.0,"05 17, 2007",A1X7FC89DOZIDV,B000096B01,"My husband and I both got new CPUs recently.  Neither came with the once ubiquitous floppy drive.  Occasionally we still need to retrieve old data or flash a bios and the floppy drive makes it all so much easier.  So for my machine I bought this usb external floppy drive.  For my husband's machine I bought an internal drive.  The out of pocket cost is about the same but the time and labor proved to be more than I wanted to spend on installing an internal drive.  Unless you already have an internal drive harvested from an old machine and you have plenty of time to pop it in, buy this usb external floppy drive.  Works great.  Small form factor.  Goes anywhere.  Just plug it in and go to work.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
78,5.0,"04 9, 2007",A1EARN5PUVIF1S,B000096B01,"Now that floppy drives are becoming an endangered species -- and an expensive one, with NYC stores asking $40 and up for an external drive -- it's handy to have a compact and inexpensive USB drive that can go from computer to computer like this one.  At any rate, there's not much to say about this little SmartDisk drive except that it's fast and quiet.  I did have minor install problems with my laptop, but the solution was to clean the USB male plug contacts. It's possible that my unit, though new, might have sat on a shelf for a while... Then the computer recognized the drive, and all was well. As others have pointed out, the ""titanium"" color is the gray you and I grew up with. Otherwise the unit appears to be well-built, the ""in use"" light glows brightly, and eject is sure and robust.  A good little drive at a good price delivered to your door.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
79,4.0,"03 6, 2007",A18GTN5ZU74AHF,B000096B01,"This little drive isn't the cheapest, but it works well - and fast - under both Windows and Mac OS.  However, a couple of minor FYIs before you buy:  1)It needs a powered USB port, so you'll have to plug it directly into the computer or a powered hub.  2)The photo gives the impression that it is a slick-looking metallic white when actually it's more of a rough putty gray.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
80,5.0,"02 6, 2007",A1L64KDYO5BOJA,B000096B01,"Opened the box, hooked it up to a USB port, worked perfectly.

Nice looking unit, very happy with it. Highly recommend it....",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
81,5.0,"11 5, 2006",A1LYCT46T9T3P6,B000096B01,"This floppy disk works great on my PowerBook, my Emachine and on my Dell desk top computer. I just had to plug it into the machines USB port and it started up on it's own. It is quiet and quick. It is a great product for the price.",smartdisk verbatim titanium 2x usb 2.0 external floppy disk drive fdusb-tm2,Verbatim
